title,image
Aerospike 1,https://raw.githubusercontent.com/alexltvnv/dcode_logos/main/Aerospike%201.svg
Airco 1,https://raw.githubusercontent.com/alexltvnv/dcode_logos/main/Airco%201.svg
Airis labs 1,https://raw.githubusercontent.com/alexltvnv/dcode_logos/main/Airis%20labs%201.svg
Alation 1,https://raw.githubusercontent.com/alexltvnv/dcode_logos/main/Alation%201.svg
Anjuna 1,https://raw.githubusercontent.com/alexltvnv/dcode_logos/main/Anjuna%201.svg
Anno.Ai 1,https://raw.githubusercontent.com/alexltvnv/dcode_logos/main/Anno.Ai%201.svg
Applied Intuition 1,https://raw.githubusercontent.com/alexltvnv/dcode_logos/main/Applied%20Intuition%201.svg
Arize AI 1,https://raw.githubusercontent.com/alexltvnv/dcode_logos/main/Arize%20AI%201.svg
Avature_idjMV_Ej05_1 1,https://raw.githubusercontent.com/alexltvnv/dcode_logos/main/Avature_idjMV_Ej05_1%201.svg
Averon_idT6d9nuNj_1 1,https://raw.githubusercontent.com/alexltvnv/dcode_logos/main/Averon_idT6d9nuNj_1%201.svg
CalypsoAI_idyp_mrggo_0 1,https://raw.githubusercontent.com/alexltvnv/dcode_logos/main/CalypsoAI_idyp_mrggo_0%201.svg
Cequence Security_iduP5qQLAj_1 1,https://raw.githubusercontent.com/alexltvnv/dcode_logos/main/Cequence%20Security_iduP5qQLAj_1%201.svg
CircleCI_id7bYgAIqt_0 1,https://raw.githubusercontent.com/alexltvnv/dcode_logos/main/CircleCI_id7bYgAIqt_0%201.svg
Clarity Movement_id7U7rwMpw_1 1,https://raw.githubusercontent.com/alexltvnv/dcode_logos/main/Clarity%20Movement_id7U7rwMpw_1%201.svg
Cogitativo_idnwxZsd7K_1 1,https://raw.githubusercontent.com/alexltvnv/dcode_logos/main/Cogitativo_idnwxZsd7K_1%201.svg
Concord_idccVsijWN_1 1,https://raw.githubusercontent.com/alexltvnv/dcode_logos/main/Concord_idccVsijWN_1%201.svg
Consultadd Inc._idWRImtqN9_1 1,https://raw.githubusercontent.com/alexltvnv/dcode_logos/main/Consultadd%20Inc._idWRImtqN9_1%201.svg
Coreshell Technologies_idedvhtVVP_2 1,https://raw.githubusercontent.com/alexltvnv/dcode_logos/main/Coreshell%20Technologies_idedvhtVVP_2%201.svg
CounterCraft_iduZTtfhHP_1 1,https://raw.githubusercontent.com/alexltvnv/dcode_logos/main/CounterCraft_iduZTtfhHP_1%201.svg
DataRobot_idvvFLZdiG_4 1,https://raw.githubusercontent.com/alexltvnv/dcode_logos/main/DataRobot_idvvFLZdiG_4%201.svg
Decision Lens_idDe82P4-X_1 1,https://raw.githubusercontent.com/alexltvnv/dcode_logos/main/Decision%20Lens_idDe82P4-X_1%201.svg
Deepgram_Logo_3 1,https://raw.githubusercontent.com/alexltvnv/dcode_logos/main/Deepgram_Logo_3%201.svg
Duality Technologies_idfO2JGyzH_2 1,https://raw.githubusercontent.com/alexltvnv/dcode_logos/main/Duality%20Technologies_idfO2JGyzH_2%201.svg
Dynamo_idNhvrT3iU_1 1,https://raw.githubusercontent.com/alexltvnv/dcode_logos/main/Dynamo_idNhvrT3iU_1%201.svg
PagerDuty_idhv1EvWhU_1 1,https://raw.githubusercontent.com/alexltvnv/dcode_logos/main/PagerDuty_idhv1EvWhU_1%201.svg
PryzmLogo 1,https://raw.githubusercontent.com/alexltvnv/dcode_logos/main/PryzmLogo%201.svg
act now coalition 1,https://raw.githubusercontent.com/alexltvnv/dcode_logos/main/act%20now%20coalition%201.svg
aether bio 1,https://raw.githubusercontent.com/alexltvnv/dcode_logos/main/aether%20bio%201.svg
amyris-logo 1,https://raw.githubusercontent.com/alexltvnv/dcode_logos/main/amyris-logo%201.svg
appen-logo 1,https://raw.githubusercontent.com/alexltvnv/dcode_logos/main/appen-logo%201.svg
arctas 1,https://raw.githubusercontent.com/alexltvnv/dcode_logos/main/arctas%201.svg
builderai-logo 1,https://raw.githubusercontent.com/alexltvnv/dcode_logos/main/builderai-logo%201.svg
corillian 1,https://raw.githubusercontent.com/alexltvnv/dcode_logos/main/corillian%201.svg
dayhoff ai 1,https://raw.githubusercontent.com/alexltvnv/dcode_logos/main/dayhoff%20ai%201.svg
deepvu 1,https://raw.githubusercontent.com/alexltvnv/dcode_logos/main/deepvu%201.svg
dynamite analytics 1,https://raw.githubusercontent.com/alexltvnv/dcode_logos/main/dynamite%20analytics%201.svg
eqty-lab-logo 1,https://raw.githubusercontent.com/alexltvnv/dcode_logos/main/eqty-lab-logo%201.svg
everlaw-logo 1,https://raw.githubusercontent.com/alexltvnv/dcode_logos/main/everlaw-logo%201.svg
evrim-ai-logo 1,https://raw.githubusercontent.com/alexltvnv/dcode_logos/main/evrim-ai-logo%201.svg
exiger logo 1,https://raw.githubusercontent.com/alexltvnv/dcode_logos/main/exiger%20logo%201.svg
fiddler ai 1,https://raw.githubusercontent.com/alexltvnv/dcode_logos/main/fiddler%20ai%201.svg
fieldwire-logo 1,https://raw.githubusercontent.com/alexltvnv/dcode_logos/main/fieldwire-logo%201.svg
fraym 1,https://raw.githubusercontent.com/alexltvnv/dcode_logos/main/fraym%201.svg
graphgrid-logo 1,https://raw.githubusercontent.com/alexltvnv/dcode_logos/main/graphgrid-logo%201.svg
gridgain-systems-logo 1,https://raw.githubusercontent.com/alexltvnv/dcode_logos/main/gridgain-systems-logo%201.svg
hashicorp-logo 1,https://raw.githubusercontent.com/alexltvnv/dcode_logos/main/hashicorp-logo%201.svg
hirevue-logo 1,https://raw.githubusercontent.com/alexltvnv/dcode_logos/main/hirevue-logo%201.svg
hive-logo 1,https://raw.githubusercontent.com/alexltvnv/dcode_logos/main/hive-logo%201.svg
